window,user,bs
5,U5,MBS_1
5,U6,SBS_2
5,U7,MBS_1
5,U8,SBS_3
5,U9,MBS_1
5,U10,SBS_2
5,e1,MBS_1
5,e2,SBS_1
5,e3,MBS_1
5,e4,SBS_2
5,e5,MBS_1
5,e6,MBS_1
5,e7,SBS_3
5,e8,SBS_2
5,e9,MBS_1
5,e10,SBS_2
5,e11,MBS_1
5,e12,SBS_3
5,e13,MBS_1
5,e14,MBS_1
5,e15,SBS_1
5,e16,MBS_1
5,e17,SBS_2
5,e18,SBS_2
5,e19,SBS_1
5,e20,SBS_1
5,m1,MBS_1
5,m2,SBS_3
5,m3,MBS_1
5,m4,MBS_1
5,m5,MBS_1
5,m6,SBS_1
5,m7,MBS_1
5,m8,SBS_1
5,m9,MBS_1
5,m10,SBS_3
5,m11,MBS_1
5,m12,SBS_3
5,m13,SBS_1
5,m14,MBS_1
5,m15,SBS_1
5,m16,MBS_1
5,m17,SBS_1
5,m18,SBS_1
5,m19,SBS_3
5,m20,MBS_1
5,m21,SBS_3
5,m22,SBS_2
5,m23,MBS_1
5,m24,SBS_3
5,m25,MBS_1
5,m26,SBS_3
5,m27,SBS_3
5,m28,MBS_1
5,m29,SBS_1
5,m30,SBS_2
5,m31,MBS_1
5,m32,SBS_2
5,m33,MBS_1
5,m34,SBS_3
5,m35,SBS_2
5,m36,MBS_1
5,m37,MBS_1
5,m38,MBS_1
5,m39,MBS_1
5,m40,SBS_2
6,U1,SBS_3
6,U2,SBS_2
6,U3,SBS_2
6,U4,MBS_1
6,U5,MBS_1
6,U6,SBS_2
6,U7,MBS_1
6,U8,SBS_3
6,U9,MBS_1
6,U10,SBS_2
6,e1,MBS_1
6,e2,SBS_1
6,e3,SBS_1
6,e4,MBS_1
6,e5,MBS_1
6,e6,MBS_1
6,e7,SBS_3
6,e8,SBS_2
6,e9,MBS_1
6,e10,MBS_1
6,e11,SBS_1
6,e12,SBS_3
6,e13,MBS_1
6,e14,MBS_1
6,e15,MBS_1
6,e16,MBS_1
6,e17,SBS_2
6,e18,SBS_2
6,e19,MBS_1
6,e20,SBS_1
6,m1,MBS_1
6,m2,MBS_1
6,m3,SBS_2
6,m4,MBS_1
6,m5,MBS_1
6,m6,SBS_1
6,m7,SBS_2
6,m8,MBS_1
6,m9,MBS_1
6,m10,MBS_1
6,m11,MBS_1
6,m12,MBS_1
6,m13,SBS_1
6,m14,SBS_2
6,m15,SBS_1
6,m16,SBS_3
6,m17,SBS_1
6,m18,MBS_1
6,m19,MBS_1
6,m20,SBS_1
6,m21,MBS_1
6,m22,SBS_2
6,m23,MBS_1
6,m24,SBS_3
6,m25,MBS_1
6,m26,MBS_1
6,m27,MBS_1
6,m28,SBS_3
6,m29,MBS_1
6,m30,SBS_2
6,m31,SBS_1
6,m32,SBS_2
6,m33,MBS_1
6,m34,MBS_1
6,m35,MBS_1
6,m36,MBS_1
6,m37,MBS_1
6,m38,SBS_3
6,m39,MBS_1
6,m40,MBS_1
7,U1,SBS_3
7,U2,SBS_2
7,U3,SBS_2
7,U4,MBS_1
7,U5,MBS_1
7,U6,SBS_2
7,U7,MBS_1
7,U8,SBS_3
7,U9,MBS_1
7,U10,SBS_2
7,e1,MBS_1
7,e2,MBS_1
7,e3,MBS_1
7,e4,MBS_1
7,e5,SBS_3
7,e6,SBS_2
7,e7,MBS_1
7,e8,MBS_1
7,e9,MBS_1
7,e10,MBS_1
7,e11,SBS_1
7,e12,SBS_3
7,e13,SBS_1
7,e14,MBS_1
7,e15,MBS_1
7,e16,MBS_1
7,e17,SBS_2
7,e18,MBS_1
7,e19,MBS_1
7,e20,SBS_1
7,m1,MBS_1
7,m2,MBS_1
7,m3,MBS_1
7,m4,MBS_1
7,m5,SBS_2
7,m6,SBS_1
7,m7,SBS_2
7,m8,SBS_1
7,m9,MBS_1
7,m10,MBS_1
7,m11,SBS_3
7,m12,MBS_1
7,m13,MBS_1
7,m14,SBS_2
7,m15,SBS_1
7,m16,MBS_1
7,m17,SBS_1
7,m18,SBS_1
7,m19,MBS_1
7,m20,SBS_1
7,m21,MBS_1
7,m22,SBS_2
7,m23,MBS_1
7,m24,SBS_3
7,m25,MBS_1
7,m26,SBS_3
7,m27,SBS_3
7,m28,MBS_1
7,m29,MBS_1
7,m30,SBS_2
7,m31,MBS_1
7,m32,MBS_1
7,m33,MBS_1
7,m34,MBS_1
7,m35,SBS_2
7,m36,SBS_2
7,m37,SBS_3
7,m38,SBS_3
7,m39,SBS_3
7,m40,SBS_2
8,U1,SBS_3
8,U2,SBS_2
8,U3,SBS_2
8,U4,MBS_1
8,U5,MBS_1
8,U6,SBS_2
8,U7,MBS_1
8,U8,MBS_1
8,U9,SBS_3
8,U10,SBS_2
8,e1,SBS_3
8,e2,SBS_1
8,e3,SBS_1
8,e4,MBS_1
8,e5,MBS_1
8,e6,MBS_1
8,e7,SBS_3
8,e8,SBS_2
8,e9,SBS_2
8,e10,SBS_2
8,e11,SBS_1
8,e12,MBS_1
8,e13,MBS_1
8,e14,MBS_1
8,e15,SBS_1
8,e16,MBS_1
8,e17,MBS_1
8,e18,SBS_2
8,e19,MBS_1
8,e20,MBS_1
8,m1,SBS_3
8,m2,SBS_3
8,m3,SBS_2
8,m4,SBS_1
8,m5,MBS_1
8,m6,SBS_1
8,m7,MBS_1
8,m8,MBS_1
8,m9,MBS_1
8,m10,SBS_3
8,m11,SBS_3
8,m12,SBS_3
8,m13,MBS_1
8,m14,SBS_2
8,m15,MBS_1
8,m16,MBS_1
8,m17,SBS_1
8,m18,SBS_1
8,m19,MBS_1
8,m20,MBS_1
8,m21,MBS_1
8,m22,MBS_1
8,m23,MBS_1
8,m24,SBS_3
8,m25,MBS_1
8,m26,MBS_1
8,m27,SBS_3
8,m28,SBS_3
8,m29,SBS_1
8,m30,MBS_1
8,m31,SBS_1
8,m32,SBS_2
8,m33,SBS_2
8,m34,SBS_3
8,m35,MBS_1
8,m36,SBS_2
8,m37,MBS_1
8,m38,MBS_1
8,m39,SBS_3
8,m40,SBS_2
9,U1,SBS_3
9,U2,SBS_2
9,U3,MBS_1
9,U4,MBS_1
9,U5,MBS_1
9,U6,SBS_2
9,U7,SBS_3
9,U8,MBS_1
9,U9,MBS_1
9,U10,MBS_1
9,e1,SBS_3
9,e2,MBS_1
9,e3,MBS_1
9,e4,MBS_1
9,e5,SBS_3
9,e6,SBS_2
9,e7,MBS_1
9,e8,SBS_2
9,e9,MBS_1
9,e10,MBS_1
9,e11,SBS_1
9,e12,SBS_3
9,e13,SBS_1
9,e14,SBS_3
9,e15,SBS_1
9,e16,SBS_1
9,e17,MBS_1
9,e18,MBS_1
9,e19,SBS_1
9,e20,SBS_1
9,m1,MBS_1
9,m2,MBS_1
9,m3,MBS_1
9,m4,MBS_1
9,m5,MBS_1
9,m6,SBS_1
9,m7,MBS_1
9,m8,MBS_1
9,m9,MBS_1
9,m10,MBS_1
9,m11,MBS_1
9,m12,MBS_1
9,m13,MBS_1
9,m14,MBS_1
9,m15,MBS_1
9,m16,SBS_3
9,m17,SBS_1
9,m18,MBS_1
9,m19,MBS_1
9,m20,SBS_1
9,m21,MBS_1
9,m22,SBS_2
9,m23,MBS_1
9,m24,SBS_3
9,m25,MBS_1
9,m26,MBS_1
9,m27,MBS_1
9,m28,SBS_3
9,m29,MBS_1
9,m30,SBS_2
9,m31,SBS_1
9,m32,MBS_1
9,m33,SBS_2
9,m34,MBS_1
9,m35,MBS_1
9,m36,SBS_2
9,m37,MBS_1
9,m38,MBS_1
9,m39,MBS_1
9,m40,SBS_2
